¼ø¼­,ÀÌ¸§,ÆÀ,°æ±â ¼ö,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,ÃÑ ·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ì,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR,WPA
104,¼ÛÁøÈ£,82»ïP,35,82,80,11,11,2,0,1,16,7,3,2,2,0,0,18,0,0,0,0.138,0.159,0.2,0.359,0.166,-6.1,-0.68,
105,±ÇµÎÁ¶,82·ÔDH,80,325,265,40,59,15,1,0,76,35,7,9,36,7,0,27,7,15,2,0.223,0.329,0.287,0.616,0.286,71.1,-0.75,
106,±è¹«°ü,82»ï1B,69,292,254,33,55,11,0,1,69,14,5,7,24,7,1,29,5,6,1,0.217,0.301,0.272,0.572,0.271,61.7,-0.77,
107,Çã¿î,82»ïDH,63,179,169,16,38,4,0,2,48,11,0,0,4,2,0,25,1,4,0,0.225,0.251,0.284,0.536,0.245,45.3,-0.88,
108,ÀÌÂù¼±,82»ï,22,59,56,2,3,0,0,0,3,3,0,0,1,1,0,11,2,1,0,0.054,0.086,0.054,0.14,0.073,-63.7,-0.91,
1,ÀåÈ¿Á¶,83»ïLF,92,386,317,61,117,19,3,18,196,62,22,2,58,6,6,39,1,0,5,0.369,0.469,0.618,1.087,0.483,215.4,7.4,
2,ÀÌ¸¸¼ö,83»ïC,98,410,357,53,105,12,0,27,198,74,0,3,41,8,2,51,11,2,2,0.294,0.378,0.555,0.932,0.418,170.3,6.05,
3,±èÀç¹Ú,83MSS,97,433,373,53,108,22,2,5,149,46,34,12,42,10,2,23,7,4,4,0.29,0.373,0.399,0.772,0.357,130.3,4.69,
4,ÀÌÇØÃ¢,83MCF,100,444,388,65,114,21,4,8,167,46,26,14,41,7,3,33,5,2,6,0.294,0.367,0.43,0.797,0.365,135.9,4.53,
5,¹ÚÁ¾ÈÆ,83OCF,97,427,375,53,117,19,6,3,157,24,7,6,38,3,3,28,3,8,3,0.312,0.377,0.419,0.796,0.361,131.4,4.35,
6,±è¿ëÃ¶,83·Ô3B,97,374,327,47,92,21,2,14,159,38,8,2,38,1,0,47,4,4,4,0.281,0.354,0.486,0.84,0.379,143.3,4.12,
7,±èÁø¿ì,83»ïC,99,424,364,46,92,10,1,15,149,49,3,1,51,7,8,44,11,0,2,0.253,0.354,0.409,0.763,0.35,122.9,4.12,
8,±èÁ¾¸ð,83ÇØRF,86,342,311,51,109,17,2,11,163,44,7,10,26,3,3,26,11,0,2,0.35,0.404,0.524,0.928,0.422,175.3,4.08,
9,±è¿ì¿­,83ORF,95,379,333,48,97,21,5,9,155,56,10,4,39,5,1,38,8,1,1,0.291,0.373,0.465,0.839,0.384,147.9,3.78,
10,ÀÌÁ¾µµ,83MLF,98,391,341,50,101,25,2,8,154,62,16,6,35,7,0,42,3,4,4,0.296,0.37,0.452,0.821,0.375,143.4,3.72,
11,±è¼ºÇÑ,83ÇØ1B,96,382,339,59,111,20,0,7,152,40,13,7,38,4,2,38,7,0,1,0.327,0.401,0.448,0.849,0.394,155,3.65,
12,¹Ú¿ë¼º,83·ÔRF,97,398,349,40,100,19,1,17,172,63,6,7,33,8,1,60,8,4,3,0.287,0.359,0.493,0.852,0.383,146.7,3.49,
13,±èºÀ¿¬,83ÇØDH,80,329,286,53,80,10,1,22,158,59,2,2,42,0,4,28,3,0,1,0.28,0.371,0.552,0.923,0.413,168.5,3.32,
14,±è¿ëÈñ,83·Ô3B,85,333,298,43,82,8,1,18,146,52,5,6,26,3,1,30,12,2,4,0.275,0.335,0.49,0.825,0.372,138.5,3.15,
15,À±µ¿±Õ,83OLF,97,411,353,49,97,19,1,10,148,54,7,5,53,2,5,33,5,0,3,0.275,0.37,0.419,0.789,0.364,133,3.12,
16,Á¤ÇÐ¼ö,83·ÔSS,97,401,351,48,98,15,2,3,126,30,9,7,42,1,0,27,7,5,2,0.279,0.356,0.359,0.715,0.334,112.2,3.07,
17,±èÀÏ±Ç,83ÇØCF,96,419,374,45,103,13,1,6,136,26,48,22,35,6,3,34,7,2,2,0.275,0.345,0.364,0.709,0.331,109.8,3.05,
18,ÀÌ±¤Àº,83M3B,93,366,329,45,89,12,4,8,133,36,17,6,24,8,1,29,10,2,3,0.271,0.332,0.404,0.737,0.339,116.7,2.98,
19,±è¹«Á¾,83ÇØC,93,345,309,43,81,19,2,12,140,60,2,5,20,5,2,35,7,6,5,0.262,0.313,0.453,0.766,0.34,116.7,2.97,
20,À¯µÎ¿­,83·ÔDH,93,344,293,34,90,18,0,9,135,36,7,4,37,7,0,35,5,4,3,0.307,0.394,0.461,0.855,0.391,152.1,2.8,
21,¾ç½Â°ü,83»ïRF,85,312,278,41,84,15,2,9,130,30,0,2,24,4,2,36,3,5,1,0.302,0.365,0.468,0.832,0.375,140.4,2.6,
22,Á¤±¸¼±,83»ï2B,97,404,356,44,91,11,0,15,147,35,1,5,35,4,3,43,4,8,1,0.256,0.328,0.413,0.741,0.335,112.4,2.55,
23,ÀÌ¿µ±¸,83»ï2B,100,418,368,48,102,21,2,5,142,36,5,8,30,4,1,19,10,12,3,0.277,0.336,0.386,0.722,0.326,105.9,2.34,
24,ÇÑ´ëÈ­,83O3B,88,344,313,39,85,17,5,5,127,44,4,1,16,3,0,43,7,9,3,0.272,0.31,0.406,0.716,0.321,102.9,2.14,
25,±¸Ãµ¼­,83O2B,66,263,219,39,61,8,4,4,89,27,4,3,21,8,0,36,5,13,2,0.279,0.36,0.406,0.766,0.34,116.4,2,
26,¹è´ë¿õ,83»ï3B,78,268,228,27,65,10,2,2,85,22,6,1,24,1,0,11,5,13,2,0.285,0.353,0.373,0.726,0.325,105.3,1.78,
27,¼­Á¤È¯,83ÇØ2B,98,358,319,33,82,11,3,3,108,34,13,6,27,4,1,42,10,5,3,0.257,0.32,0.339,0.659,0.306,91.8,1.72,
28,ÇÔÇÐ¼ö,83»ïSS,93,315,295,40,77,10,2,5,106,32,8,4,12,2,0,29,5,5,1,0.261,0.294,0.359,0.653,0.299,87.7,1.61,
29,±è±Ù¼®,83»ï2B,89,320,284,35,77,12,0,4,101,28,2,6,15,13,0,37,5,7,1,0.271,0.336,0.356,0.691,0.321,102.5,1.59,
30,±è´ëÁø,83»ïLF,94,363,311,42,86,11,1,2,105,23,4,1,30,9,0,35,3,10,3,0.277,0.354,0.338,0.692,0.321,102.9,1.59,
31,½Å°æ½Ä,83O1B,100,421,377,47,101,15,1,5,133,50,10,7,31,7,2,38,2,6,0,0.268,0.335,0.353,0.688,0.32,101.8,1.32,
32,±èÀÎ½Ä,83M3B,100,416,380,48,100,16,2,1,123,30,14,10,11,13,0,18,0,11,0,0.263,0.307,0.324,0.631,0.291,80.1,1.32,
33,Ãµº¸¼º,83»ï2B,71,199,174,23,43,8,1,6,71,25,3,1,16,1,0,17,2,7,1,0.247,0.313,0.408,0.721,0.321,103.1,1.21,
34,±èÁØÈ¯,83ÇØLF,90,363,326,35,81,5,1,10,118,43,11,5,27,3,1,39,11,3,4,0.248,0.308,0.362,0.67,0.31,94.8,1.19,
35,±èÇÑ±Ù,83»ï1B,71,244,223,30,63,11,1,4,88,16,4,2,16,3,0,25,9,0,1,0.283,0.337,0.395,0.732,0.34,116.2,1.19,
36,±èÀç»ó,83·ÔCF,86,264,228,28,56,9,2,2,75,14,13,7,23,2,0,24,2,10,1,0.246,0.319,0.329,0.648,0.296,85.2,1.07,
37,Â÷¿µÈ­,83ÇØSS,82,252,229,20,61,6,2,1,74,23,16,11,13,2,0,17,3,5,3,0.266,0.308,0.323,0.631,0.291,81.5,1.01,
38,Á¤Á¾Çö,83OC,44,115,99,18,23,2,0,6,43,14,0,2,10,3,0,8,2,3,0,0.232,0.321,0.434,0.756,0.341,116.8,0.96,
39,¹ÚÂù,83»ïRF,52,147,130,20,38,10,0,1,51,12,2,2,14,1,0,24,2,1,1,0.292,0.363,0.392,0.755,0.352,124.1,0.93,
40,Á¤Çö¹ß,83»ï3B,86,285,255,30,59,11,0,6,88,25,2,4,23,1,0,34,6,1,5,0.231,0.292,0.345,0.637,0.296,85.6,0.9,
41,½Å¾ðÈ£,83MRF,83,282,256,28,69,15,2,5,103,33,3,3,11,0,0,32,5,12,3,0.27,0.296,0.402,0.699,0.307,92.4,0.77,
42,½ÉÀç¿ø,83·ÔC,68,201,182,19,41,4,0,3,54,13,3,1,12,4,0,22,2,2,1,0.225,0.286,0.297,0.583,0.276,70.9,0.76,
43,Á¶Èï¿î,83»ïSS,80,280,254,24,60,9,4,0,77,27,11,6,16,1,0,32,4,9,0,0.236,0.284,0.303,0.587,0.269,66.6,0.76,
